Mission_ID,Mission_Date,Mission_Type,Drone_Model,Base_Location,Operator_ID,Flight_Duration_Min,Distance_Km,Altitude_m,Battery_Start,Battery_End,Battery_Consumed,Payload_Type,Payload_Weight_kg,Weather,Temperature_C,Wind_Speed_kmph,Threat_Level,Mission_Status,Failure_Reason,Mission_Score
ASD-00037,2025-11-30,Reconnaissance,DJI Mavic 3 Enterprise,Delhi,OP-025,73,18.87,100,100,20,80,Medical Kit,1.51,Clear,42,6,Low,Success,NA,90
ASD-00038,2025-11-07,Reconnaissance,Autel EVO Max 4T,Delhi,OP-006,39,18.12,201,100,66,34,Sensor Package,1.65,Windy,21,32,High,Success,NA,91
ASD-00039,2025-12-23,Infrastructure Inspection,DJI Matrice 300 RTK,Dehradun,OP-004,23,56.09,227,100,32,68,LiDAR,3.61,Foggy,20,7,Medium,Success,NA,100
ASD-00040,2025-08-10,Medical Delivery,DJI Mavic 3 Enterprise,Shimla,OP-004,25,24.1,189,100,33,67,HD Camera,4.32,Clear,40,24,Critical,Failed,Mechanical Fault,82
ASD-00041,2025-08-19,Infrastructure Inspection,Skydio X2D,Shimla,OP-009,86,58.1,149,100,19,81,Medical Kit,4.33,Foggy,35,20,Low,Success,NA,77
ASD-00042,2025-11-02,Infrastructure Inspection,DJI Matrice 300 RTK,Dehradun,OP-009,68,23.5,206,100,39,61,Medical Kit,4.09,Cloudy,39,16,High,Success,NA,94
ASD-00043,2025-01-09,Medical Delivery,DJI Mavic 3 Enterprise,Lucknow,OP-026,44,9.71,264,100,28,72,Sensor Package,3.7,Foggy,23,33,Critical,Success,NA,83
ASD-00044,2025-04-29,Search & Rescue,DJI Matrice 300 RTK,Shimla,OP-009,67,31.03,215,100,36,64,Sensor Package,2.54,Foggy,29,25,High,Success,NA,93
ASD-00045,2025-04-10,Reconnaissance,Autel EVO Max 4T,Delhi,OP-004,88,57.3,256,100,57,43,Medical Kit,3.76,Cloudy,21,33,High,Success,NA,95
ASD-00046,2025-01-07,Medical Delivery,Parrot Anafi AI,Lucknow,OP-004,88,11.96,91,100,74,26,Sensor Package,4.41,Windy,26,11,Critical,Success,NA,87
ASD-00047,2025-03-18,Reconnaissance,DJI Matrice 300 RTK,Dehradun,OP-005,43,58.1,144,100,19,81,Food Package,0.83,Clear,12,28,Low,Failed,Signal Loss,71
ASD-00048,2025-10-19,Border Patrol,DJI Matrice 300 RTK,Jaipur,OP-010,73,38.35,282,100,52,48,Food Package,1.84,Windy,32,31,Critical,Success,NA,89
ASD-00049,2025-11-01,Reconnaissance,Autel EVO Max 4T,Shimla,OP-023,47,19.56,100,100,60,40,Thermal Camera,0.51,Cloudy,19,7,Critical,Success,NA,80
ASD-00050,2025-03-18,Surveillance,DJI Matrice 300 RTK,Jaipur,OP-021,56,43.66,196,100,71,29,Food Package,1.02,Cloudy,24,15,Medium,Success,NA,92
ASD-00051,2025-09-14,Surveillance,Skydio X2D,Delhi,OP-009,59,37.73,291,100,44,56,Sensor Package,1.87,Foggy,15,32,Critical,Success,NA,87
ASD-00052,2025-12-11,Surveillance,DJI Mavic 3 Enterprise,Chandigarh,OP-025,75,45.4,234,100,48,52,Sensor Package,4.26,Clear,13,17,Low,Success,NA,99
ASD-00053,2025-06-14,Search & Rescue,Parrot Anafi AI,Shimla,OP-011,86,40.83,151,100,57,43,HD Camera,2.62,Windy,35,34,Critical,Success,NA,82
ASD-00054,2025-09-21,Border Patrol,Skydio X2D,Chandigarh,OP-028,83,20.85,182,100,76,24,Medical Kit,1.95,Foggy,13,23,Critical,Success,NA,80
ASD-00055,2025-05-28,Surveillance,DJI Matrice 300 RTK,Shimla,OP-030,72,7.98,212,100,34,66,HD Camera,1.42,Windy,39,31,Medium,Success,NA,97
ASD-00056,2025-03-02,Medical Delivery,Autel EVO Max 4T,Dehradun,OP-015,50,44.04,159,100,79,21,Thermal Camera,4.97,Windy,34,8,Low,Success,NA,92
ASD-00057,2025-02-05,Search & Rescue,Skydio X2D,Lucknow,OP-028,54,27.85,203,100,20,80,Food Package,1.36,Cloudy,37,12,Medium,Success,NA,96
ASD-00058,2025-06-14,Medical Delivery,DJI Mavic 3 Enterprise,Chandigarh,OP-015,20,20.56,156,100,18,82,Medical Kit,2.0,Cloudy,36,33,Critical,Failed,Weather,69
ASD-00059,2025-02-21,Surveillance,Skydio X2D,Chandigarh,OP-028,25,22.5,201,100,32,68,HD Camera,1.07,Foggy,17,34,High,Success,NA,97
ASD-00060,2025-02-11,Border Patrol,Parrot Anafi AI,Dehradun,OP-021,21,44.73,184,100,61,39,Medical Kit,3.3,Clear,38,19,Critical,Failed,Mechanical Fault,85
ASD-00061,2025-03-27,Surveillance,Autel EVO Max 4T,Delhi,OP-015,24,38.96,140,100,44,56,HD Camera,3.92,Cloudy,13,30,Low,Success,NA,90
ASD-00062,2025-03-31,Infrastructure Inspection,DJI Mavic 3 Enterprise,Chandigarh,OP-006,57,24.72,190,100,62,38,LiDAR,3.57,Cloudy,41,29,Medium,Success,NA,96
ASD-00063,2025-08-15,Search & Rescue,Parrot Anafi AI,Shimla,OP-003,38,17.77,243,100,48,52,Food Package,4.56,Foggy,24,3,Medium,Success,NA,99
ASD-00064,2025-06-01,Border Patrol,Parrot Anafi AI,Lucknow,OP-019,52,30.13,157,100,55,45,Thermal Camera,2.22,Foggy,38,9,High,Failed,Signal Loss,90
ASD-00065,2025-11-22,Border Patrol,DJI Mavic 3 Enterprise,Shimla,OP-008,21,36.13,255,100,74,26,Thermal Camera,3.23,Windy,39,21,High,Success,NA,94
ASD-00066,2025-06-01,Reconnaissance,DJI Mavic 3 Enterprise,Jaipur,OP-003,32,54.69,245,100,75,25,LiDAR,2.14,Rainy,36,5,Medium,Success,NA,81
ASD-00067,2025-06-23,Reconnaissance,DJI Mavic 3 Enterprise,Shimla,OP-024,89,53.21,173,100,16,84,Food Package,4.85,Rainy,18,19,High,Failed,Mechanical Fault,55
ASD-00068,2025-12-11,Infrastructure Inspection,Parrot Anafi AI,Shimla,OP-012,70,58.2,285,100,34,66,Medical Kit,2.91,Clear,33,3,Critical,Success,NA,84
ASD-00069,2025-12-25,Surveillance,DJI Mavic 3 Enterprise,Delhi,OP-030,67,10.96,139,100,20,80,Sensor Package,0.78,Clear,28,17,Critical,Success,NA,86
ASD-00070,2025-03-21,Infrastructure Inspection,Parrot Anafi AI,Lucknow,OP-019,24,21.74,206,100,66,34,Food Package,2.54,Clear,23,11,Critical,Failed,Battery Failure,87
ASD-00071,2025-11-27,Search & Rescue,DJI Mavic 3 Enterprise,Delhi,OP-018,24,42.97,135,100,24,76,HD Camera,4.91,Foggy,23,26,High,Success,NA,96
ASD-00072,2025-10-11,Reconnaissance,Autel EVO Max 4T,Jaipur,OP-003,78,10.04,134,100,78,22,Thermal Camera,4.04,Clear,29,18,Medium,Success,NA,93
ASD-00073,2025-01-08,Infrastructure Inspection,Autel EVO Max 4T,Delhi,OP-005,20,20.25,117,100,64,36,HD Camera,3.47,Windy,24,14,Low,Success,NA,93
ASD-00074,2025-10-31,Reconnaissance,Skydio X2D,Delhi,OP-017,42,19.6,112,100,27,73,Food Package,2.52,Windy,15,7,High,Success,NA,98
ASD-00075,2025-08-16,Search & Rescue,Skydio X2D,Jaipur,OP-023,86,21.59,244,100,77,23,Food Package,3.59,Clear,38,28,Critical,Success,NA,81
ASD-00076,2025-12-26,Border Patrol,Skydio X2D,Shimla,OP-004,28,11.94,239,100,39,61,Food Package,2.77,Foggy,41,21,Critical,Success,NA,90
ASD-00077,2025-06-10,Reconnaissance,Parrot Anafi AI,Delhi,OP-014,47,28.65,138,100,28,72,Food Package,3.78,Rainy,37,28,High,Success,NA,80
ASD-00078,2025-03-04,Medical Delivery,DJI Matrice 300 RTK,Lucknow,OP-022,31,50.75,103,100,25,75,LiDAR,0.77,Clear,31,11,High,Success,NA,100
ASD-00079,2025-10-12,Infrastructure Inspection,DJI Mavic 3 Enterprise,Chandigarh,OP-028,59,24.34,227,100,16,84,Thermal Camera,4.31,Cloudy,17,33,High,Success,NA,74
ASD-00080,2025-01-04,Infrastructure Inspection,Parrot Anafi AI,Delhi,OP-012,23,38.49,248,100,46,54,Sensor Package,3.93,Clear,19,20,High,Success,NA,92
ASD-00081,2025-06-09,Infrastructure Inspection,DJI Matrice 300 RTK,Delhi,OP-012,38,45.75,87,100,69,31,Food Package,2.54,Windy,21,27,Medium,Success,NA,99
ASD-00082,2025-05-20,Surveillance,Autel EVO Max 4T,Chandigarh,OP-014,39,13.66,238,100,74,26,Sensor Package,2.41,Clear,25,31,Critical,Success,NA,88
ASD-00083,2025-04-15,Reconnaissance,Autel EVO Max 4T,Lucknow,OP-001,34,20.58,253,100,18,82,Thermal Camera,2.28,Windy,27,5,Low,Success,NA,73
ASD-00084,2025-07-23,Medical Delivery,DJI Matrice 300 RTK,Chandigarh,OP-003,61,11.6,207,100,25,75,LiDAR,3.67,Cloudy,16,27,High,Success,NA,90
ASD-00085,2025-03-29,Medical Delivery,Autel EVO Max 4T,Delhi,OP-011,29,52.42,227,100,26,74,Medical Kit,1.02,Windy,33,29,Low,Success,NA,99
ASD-00086,2025-06-20,Infrastructure Inspection,DJI Matrice 300 RTK,Dehradun,OP-008,75,51.45,142,100,25,75,Food Package,4.42,Windy,33,8,High,Success,NA,91
ASD-00087,2025-11-05,Surveillance,DJI Mavic 3 Enterprise,Shimla,OP-006,85,15.66,278,100,36,64,HD Camera,1.16,Rainy,17,18,Medium,Success,NA,85
ASD-00088,2025-11-20,Infrastructure Inspection,DJI Matrice 300 RTK,Lucknow,OP-015,83,30.52,224,100,23,77,Thermal Camera,2.48,Windy,28,23,Critical,Success,NA,84
ASD-00089,2025-11-01,Infrastructure Inspection,Skydio X2D,Shimla,OP-020,84,9.08,198,100,23,77,Medical Kit,0.85,Clear,11,26,Low,Success,NA,97
ASD-00090,2025-06-25,Border Patrol,DJI Mavic 3 Enterprise,Delhi,OP-004,25,29.74,287,100,56,44,Thermal Camera,4.81,Rainy,38,35,Critical,Failed,Battery Failure,73
ASD-00091,2025-11-03,Border Patrol,Autel EVO Max 4T,Delhi,OP-022,51,43.92,192,100,60,40,Food Package,2.34,Rainy,31,21,High,Success,NA,85
ASD-00092,2025-06-29,Border Patrol,Parrot Anafi AI,Jaipur,OP-030,62,10.2,253,100,31,69,Medical Kit,0.87,Rainy,24,12,Medium,Success,NA,85
ASD-00093,2025-07-05,Search & Rescue,Parrot Anafi AI,Jaipur,OP-001,30,22.03,176,100,38,62,Sensor Package,3.52,Cloudy,41,8,High,Success,NA,93
ASD-00094,2025-06-22,Medical Delivery,DJI Mavic 3 Enterprise,Jaipur,OP-022,48,60.0,119,100,71,29,LiDAR,4.26,Rainy,14,35,Low,Failed,Weather,84
ASD-00095,2025-11-09,Reconnaissance,Skydio X2D,Jaipur,OP-015,43,50.72,277,100,59,41,Medical Kit,3.54,Foggy,10,29,Medium,Success,NA,97
ASD-00096,2025-09-28,Reconnaissance,Skydio X2D,Jaipur,OP-017,59,58.11,280,100,20,80,Food Package,3.96,Cloudy,31,31,Critical,Success,NA,82
ASD-00097,2025-08-19,Medical Delivery,DJI Matrice 300 RTK,Jaipur,OP-009,52,7.87,203,100,33,67,Medical Kit,0.88,Windy,14,10,Medium,Success,NA,92
ASD-00098,2025-04-25,Border Patrol,Autel EVO Max 4T,Jaipur,OP-012,77,53.65,86,100,27,73,Medical Kit,1.56,Clear,33,35,Low,Success,NA,91
ASD-00099,2025-05-12,Infrastructure Inspection,Skydio X2D,Dehradun,OP-001,37,7.11,292,100,20,80,LiDAR,0.52,Cloudy,38,31,Low,Success,NA,92
ASD-00100,2025-02-26,Infrastructure Inspection,DJI Matrice 300 RTK,Shimla,OP-003,74,11.12,153,100,50,50,Thermal Camera,2.39,Rainy,15,6,Critical,Failed,Mechanical Fault,74
ASD-00101,2025-12-07,Search & Rescue,DJI Matrice 300 RTK,Dehradun,OP-006,85,36.63,263,100,62,38,LiDAR,2.09,Rainy,35,3,Critical,Success,NA,73
ASD-00102,2025-01-09,Search & Rescue,DJI Mavic 3 Enterprise,Shimla,OP-009,89,32.9,209,100,78,22,Sensor Package,2.24,Foggy,38,5,High,Success,NA,91
ASD-00103,2025-12-17,Border Patrol,DJI Mavic 3 Enterprise,Jaipur,OP-027,33,47.43,268,100,38,62,LiDAR,2.02,Cloudy,10,25,Medium,Success,NA,97
ASD-00104,2025-06-08,Medical Delivery,Autel EVO Max 4T,Delhi,OP-030,28,44.38,197,100,76,24,Thermal Camera,4.49,Rainy,20,5,High,Success,NA,83
ASD-00105,2025-08-14,Reconnaissance,Parrot Anafi AI,Shimla,OP-024,44,20.74,300,100,74,26,Medical Kit,2.47,Rainy,25,10,Critical,Failed,Mechanical Fault,70
ASD-00106,2025-05-31,Search & Rescue,Autel EVO Max 4T,Lucknow,OP-018,83,25.2,284,100,46,54,Food Package,3.21,Clear,35,8,Medium,Success,NA,91
ASD-00107,2025-08-11,Surveillance,Parrot Anafi AI,Lucknow,OP-020,77,38.14,189,100,59,41,HD Camera,3.77,Foggy,30,31,High,Success,NA,90
ASD-00108,2025-11-27,Infrastructure Inspection,DJI Matrice 300 RTK,Dehradun,OP-025,85,49.06,253,100,60,40,HD Camera,1.07,Clear,17,31,Medium,Success,NA,96
ASD-00109,2025-05-23,Surveillance,DJI Mavic 3 Enterprise,Chandigarh,OP-021,39,42.35,174,100,33,67,LiDAR,2.15,Foggy,12,11,High,Success,NA,91
ASD-00110,2025-09-09,Surveillance,Parrot Anafi AI,Jaipur,OP-023,86,26.28,223,100,65,35,Thermal Camera,4.98,Rainy,24,31,High,Success,NA,77
ASD-00111,2025-07-05,Reconnaissance,DJI Mavic 3 Enterprise,Jaipur,OP-026,76,59.85,287,100,40,60,Medical Kit,4.33,Rainy,12,21,Medium,Success,NA,76
ASD-00112,2025-07-30,Surveillance,DJI Mavic 3 Enterprise,Lucknow,OP-017,83,6.45,221,100,33,67,HD Camera,1.89,Foggy,16,8,Critical,Success,NA,89
ASD-00113,2025-03-05,Reconnaissance,DJI Mavic 3 Enterprise,Lucknow,OP-027,29,29.75,254,100,36,64,Food Package,2.76,Cloudy,19,11,Low,Success,NA,94
ASD-00114,2025-11-17,Surveillance,Skydio X2D,Shimla,OP-005,48,24.03,212,100,44,56,Sensor Package,4.8,Clear,24,15,High,Success,NA,98
ASD-00115,2025-04-18,Infrastructure Inspection,DJI Matrice 300 RTK,Chandigarh,OP-021,41,37.55,228,100,61,39,HD Camera,0.87,Cloudy,29,5,High,Success,NA,96
ASD-00116,2025-08-14,Reconnaissance,Autel EVO Max 4T,Dehradun,OP-006,89,20.93,157,100,19,81,Food Package,0.83,Cloudy,33,22,Low,Success,NA,77
ASD-00117,2025-05-04,Medical Delivery,DJI Mavic 3 Enterprise,Jaipur,OP-011,38,22.19,263,100,40,60,Medical Kit,2.82,Rainy,33,11,Low,Success,NA,79
ASD-00118,2025-03-23,Medical Delivery,Parrot Anafi AI,Lucknow,OP-025,32,7.78,178,100,27,73,LiDAR,3.75,Cloudy,18,23,Medium,Success,NA,98
ASD-00119,2025-09-11,Border Patrol,Parrot Anafi AI,Lucknow,OP-010,83,6.27,180,100,16,84,LiDAR,2.09,Foggy,23,16,Low,Success,NA,80
ASD-00120,2025-10-19,Infrastructure Inspection,Autel EVO Max 4T,Delhi,OP-002,88,5.45,107,100,25,75,Food Package,2.15,Cloudy,24,26,Critical,Success,NA,85
ASD-00121,2025-07-07,Infrastructure Inspection,Skydio X2D,Chandigarh,OP-018,69,32.73,275,100,45,55,HD Camera,2.27,Windy,15,11,High,Success,NA,93
ASD-00122,2025-11-10,Infrastructure Inspection,Autel EVO Max 4T,Dehradun,OP-011,84,7.21,89,100,63,37,Thermal Camera,3.23,Rainy,38,32,Medium,Success,NA,81
ASD-00123,2025-10-26,Surveillance,Skydio X2D,Chandigarh,OP-014,63,32.9,210,100,18,82,HD Camera,2.16,Windy,27,33,Low,Success,NA,80
ASD-00124,2025-12-15,Border Patrol,DJI Matrice 300 RTK,Jaipur,OP-005,53,58.19,280,100,51,49,LiDAR,3.33,Clear,38,13,Critical,Success,NA,89
ASD-00125,2025-02-01,Reconnaissance,Skydio X2D,Lucknow,OP-028,22,29.26,187,100,61,39,LiDAR,3.99,Foggy,21,29,Critical,Success,NA,88
ASD-00126,2025-09-05,Search & Rescue,Skydio X2D,Lucknow,OP-020,81,33.9,160,100,58,42,LiDAR,2.09,Foggy,42,24,High,Success,NA,93
ASD-00127,2025-03-04,Medical Delivery,Parrot Anafi AI,Lucknow,OP-010,48,56.78,156,100,44,56,Food Package,2.07,Cloudy,39,23,High,Success,NA,98
ASD-00128,2025-10-03,Border Patrol,Autel EVO Max 4T,Jaipur,OP-027,38,20.97,153,100,70,30,Sensor Package,2.66,Rainy,36,19,Medium,Success,NA,83
ASD-00129,2025-06-19,Border Patrol,DJI Mavic 3 Enterprise,Delhi,OP-014,33,38.86,230,100,50,50,Sensor Package,1.55,Cloudy,11,17,Low,Success,NA,91
ASD-00130,2025-02-15,Infrastructure Inspection,DJI Matrice 300 RTK,Jaipur,OP-030,90,58.79,120,100,28,72,Medical Kit,1.95,Foggy,38,15,Low,Success,NA,93
ASD-00131,2025-01-20,Infrastructure Inspection,DJI Matrice 300 RTK,Lucknow,OP-029,73,53.52,125,100,76,24,Sensor Package,4.83,Foggy,39,14,High,Success,NA,99
ASD-00132,2025-03-25,Search & Rescue,DJI Mavic 3 Enterprise,Delhi,OP-011,56,29.99,244,100,17,83,Medical Kit,1.37,Cloudy,40,32,Low,Success,NA,80
ASD-00133,2025-02-18,Medical Delivery,Autel EVO Max 4T,Jaipur,OP-022,63,48.49,225,100,56,44,LiDAR,1.98,Cloudy,33,30,Critical,Success,NA,82
ASD-00134,2025-12-01,Surveillance,DJI Matrice 300 RTK,Chandigarh,OP-009,20,19.34,140,100,23,77,LiDAR,3.75,Rainy,29,22,Low,Success,NA,78
ASD-00135,2025-09-02,Search & Rescue,Parrot Anafi AI,Shimla,OP-005,59,13.78,255,100,16,84,Medical Kit,3.27,Rainy,15,21,Medium,Success,NA,63
ASD-00136,2025-10-16,Infrastructure Inspection,DJI Mavic 3 Enterprise,Dehradun,OP-030,90,55.2,273,100,53,47,LiDAR,3.67,Cloudy,13,31,Low,Success,NA,98
ASD-00137,2025-01-29,Medical Delivery,Parrot Anafi AI,Dehradun,OP-026,88,13.24,163,100,24,76,HD Camera,4.55,Clear,21,34,Critical,Success,NA,88
ASD-00138,2025-08-05,Infrastructure Inspection,DJI Matrice 300 RTK,Delhi,OP-002,27,35.73,252,100,41,59,HD Camera,3.86,Clear,33,19,Low,Success,NA,91
ASD-00139,2025-02-11,Infrastructure Inspection,DJI Mavic 3 Enterprise,Shimla,OP-013,80,6.75,184,100,57,43,Food Package,2.52,Cloudy,34,26,Critical,Success,NA,90
ASD-00140,2025-12-11,Infrastructure Inspection,Parrot Anafi AI,Jaipur,OP-015,64,11.52,217,100,30,70,HD Camera,3.9,Windy,16,17,High,Success,NA,96
ASD-00141,2025-04-16,Surveillance,Parrot Anafi AI,Dehradun,OP-008,51,30.33,119,100,45,55,Sensor Package,2.39,Cloudy,15,5,Low,Success,NA,99
ASD-00142,2025-10-22,Border Patrol,Autel EVO Max 4T,Jaipur,OP-008,26,18.46,91,100,29,71,HD Camera,1.13,Foggy,22,16,High,Success,NA,99
ASD-00143,2025-12-14,Surveillance,Autel EVO Max 4T,Shimla,OP-021,58,53.19,249,100,52,48,HD Camera,3.01,Foggy,27,20,Medium,Success,NA,97
ASD-00144,2025-04-26,Medical Delivery,DJI Matrice 300 RTK,Dehradun,OP-008,68,48.22,161,100,27,73,Food Package,1.33,Foggy,17,22,Critical,Success,NA,82
ASD-00145,2025-08-19,Infrastructure Inspection,DJI Mavic 3 Enterprise,Delhi,OP-030,72,58.23,222,100,63,37,Thermal Camera,1.99,Foggy,23,19,Low,Success,NA,91
ASD-00146,2025-01-08,Border Patrol,DJI Matrice 300 RTK,Shimla,OP-010,54,25.74,234,100,75,25,Food Package,1.44,Clear,20,16,High,Success,NA,93
ASD-00147,2025-05-14,Medical Delivery,DJI Matrice 300 RTK,Shimla,OP-010,81,55.29,258,100,54,46,Medical Kit,2.21,Foggy,23,23,High,Success,NA,97
ASD-00148,2025-03-16,Infrastructure Inspection,Skydio X2D,Shimla,OP-024,80,46.89,161,100,54,46,HD Camera,3.03,Rainy,28,29,Medium,Success,NA,83
ASD-00149,2025-09-08,Reconnaissance,Autel EVO Max 4T,Jaipur,OP-009,73,21.24,130,100,38,62,Food Package,2.98,Cloudy,32,18,High,Failed,Mechanical Fault,97
ASD-00150,2025-01-04,Reconnaissance,DJI Matrice 300 RTK,Shimla,OP-025,37,44.62,205,100,57,43,HD Camera,4.75,Windy,11,5,Low,Success,NA,100
ASD-00151,2025-10-10,Infrastructure Inspection,Autel EVO Max 4T,Dehradun,OP-018,39,5.5,209,100,22,78,Sensor Package,2.7,Rainy,11,33,Low,Success,NA,75
